Mutant Number,Operator Class,Killed by,Description
129,COR,"['10', '29', '51']","&&(boolean,boolean):FALSE(boolean,boolean):triangle.Triangle@classify:45:trian == 2 && a + c > b |==> false
"
130,COR,"['6', '20', '32']","&&(boolean,boolean):LHS(boolean,boolean):triangle.Triangle@classify:45:trian == 2 && a + c > b |==> trian == 2
"
131,COR,"['5', '7', '19', '21', '30', '31', '33', '48']","&&(boolean,boolean):RHS(boolean,boolean):triangle.Triangle@classify:45:trian == 2 && a + c > b |==> a + c > b
"
132,STD,"['10', '29', '51']","<CALL>:<NO-OP>:triangle.Triangle@classify:46:return Type.ISOSCELES; |==> return null;
"
133,LVR,"['9', '28', '34', '50']","POS:0:triangle.Triangle@classify:47:3 |==> 0
"
134,LVR,"['9', '28', '34', '50']","POS:NEG:triangle.Triangle@classify:47:3 |==> -3
"
135,ROR,"['5', '6', '19', '20', '30', '31', '32', '48']","==(int,int):<=(int,int):triangle.Triangle@classify:47:trian == 3 |==> trian <= 3
"
136,ROR,[],"==(int,int):>=(int,int):triangle.Triangle@classify:47:trian == 3 |==> trian >= 3
"
137,ROR,"['9', '28', '34', '50']","==(int,int):FALSE(int,int):triangle.Triangle@classify:47:trian == 3 |==> false
"
138,AOR,"['9', '28', '34', '50']","+(int,int):%(int,int):triangle.Triangle@classify:47:b + c |==> b % c
"
139,AOR,['33'],"+(int,int):*(int,int):triangle.Triangle@classify:47:b + c |==> b * c
"
140,AOR,"['9', '28', '34', '50']","+(int,int):-(int,int):triangle.Triangle@classify:47:b + c |==> b - c
"
141,AOR,"['9', '28', '34', '50']","+(int,int):/(int,int):triangle.Triangle@classify:47:b + c |==> b / c
"
142,ROR,"['7', '21']",">(int,int):!=(int,int):triangle.Triangle@classify:47:b + c > a |==> b + c != a
"
143,ROR,['33'],">(int,int):>=(int,int):triangle.Triangle@classify:47:b + c > a |==> b + c >= a
"
144,ROR,"['9', '28', '34', '50']",">(int,int):FALSE(int,int):triangle.Triangle@classify:47:b + c > a |==> false
"
145,COR,[],"&&(boolean,boolean):==(boolean,boolean):triangle.Triangle@classify:47:trian == 3 && b + c > a |==> trian == 3 == b + c > a
"
146,COR,"['9', '28', '34', '50']","&&(boolean,boolean):FALSE(boolean,boolean):triangle.Triangle@classify:47:trian == 3 && b + c > a |==> false
"
147,COR,"['7', '21', '33']","&&(boolean,boolean):LHS(boolean,boolean):triangle.Triangle@classify:47:trian == 3 && b + c > a |==> trian == 3
"
148,COR,"['5', '6', '19', '20', '30', '31', '32', '48']","&&(boolean,boolean):RHS(boolean,boolean):triangle.Triangle@classify:47:trian == 3 && b + c > a |==> b + c > a
"
149,STD,"['9', '28', '34', '50']","<CALL>:<NO-OP>:triangle.Triangle@classify:48:return Type.ISOSCELES; |==> return null;
"
150,STD,"['5', '6', '7', '19', '20', '21', '30', '31', '32', '33', '48']","<CALL>:<NO-OP>:triangle.Triangle@classify:50:return Type.INVALID; |==> return null;
"
