Mutant Number,Operator Class,Killed by,Description
91,STD,"['1', '2', '3']","<CALL>:<NO-OP>:triangle.Triangle@classify:35:return Type.INVALID; |==> return null;
"
92,STD,"['1', '2', '3']","<CALL>:<NO-OP>:triangle.Triangle@classify:37:return Type.SCALENE; |==> return null;
"
93,LVR,"['1', '2', '3']","POS:0:triangle.Triangle@classify:40:3 |==> 0
"
94,LVR,"['1', '2', '3']","POS:NEG:triangle.Triangle@classify:40:3 |==> -3
"
95,ROR,"['1', '2', '3']",">(int,int):!=(int,int):triangle.Triangle@classify:40:trian > 3 |==> trian != 3
"
96,ROR,"['1', '2', '3']",">(int,int):>=(int,int):triangle.Triangle@classify:40:trian > 3 |==> trian >= 3
"
97,ROR,"['1', '2', '3', '4']",">(int,int):FALSE(int,int):triangle.Triangle@classify:40:trian > 3 |==> false
"
98,STD,"['1', '2', '3', '4']","<CALL>:<NO-OP>:triangle.Triangle@classify:41:return Type.EQUILATERAL; |==> return null;
"
99,LVR,"['1', '2', '3']","POS:0:triangle.Triangle@classify:43:1 |==> 0
"
100,LVR,"['1', '2', '3']","POS:NEG:triangle.Triangle@classify:43:1 |==> -1
"
101,ROR,[],"==(int,int):<=(int,int):triangle.Triangle@classify:43:trian == 1 |==> trian <= 1
"
102,ROR,"['1', '2']","==(int,int):>=(int,int):triangle.Triangle@classify:43:trian == 1 |==> trian >= 1
"
103,ROR,"['1', '2', '3']","==(int,int):FALSE(int,int):triangle.Triangle@classify:43:trian == 1 |==> false
"
104,AOR,"['1', '2', '3']","+(int,int):%(int,int):triangle.Triangle@classify:43:a + b |==> a % b
"
105,AOR,['2'],"+(int,int):*(int,int):triangle.Triangle@classify:43:a + b |==> a * b
"
106,AOR,"['1', '2', '3']","+(int,int):-(int,int):triangle.Triangle@classify:43:a + b |==> a - b
"
107,AOR,"['1', '2', '3']","+(int,int):/(int,int):triangle.Triangle@classify:43:a + b |==> a / b
"
108,ROR,"['1', '2', '3']",">(int,int):!=(int,int):triangle.Triangle@classify:43:a + b > c |==> a + b != c
"
109,ROR,['2'],">(int,int):>=(int,int):triangle.Triangle@classify:43:a + b > c |==> a + b >= c
"
